date,popularity,day,show,platform,show_name
2021-09-17,3,1,squid game,netflix,squid
2021-09-18,12,2,squid game,netflix,squid
2021-09-19,17,3,squid game,netflix,squid
2021-09-20,18,4,squid game,netflix,squid
2021-09-21,25,5,squid game,netflix,squid
2021-09-22,31,6,squid game,netflix,squid
2021-09-23,37,7,squid game,netflix,squid
2021-09-24,44,8,squid game,netflix,squid
2021-09-25,62,9,squid game,netflix,squid
2021-09-26,73,10,squid game,netflix,squid
2021-09-27,65,11,squid game,netflix,squid
2021-09-28,64,12,squid game,netflix,squid
2021-09-29,68,13,squid game,netflix,squid
2021-09-30,74,14,squid game,netflix,squid
2021-10-01,81,15,squid game,netflix,squid
2021-10-02,98,16,squid game,netflix,squid
2021-10-03,100,17,squid game,netflix,squid
2021-10-04,79,18,squid game,netflix,squid
2021-10-05,80,19,squid game,netflix,squid
2021-10-06,77,20,squid game,netflix,squid
2021-10-07,75,21,squid game,netflix,squid
2021-10-08,74,22,squid game,netflix,squid
2021-10-09,88,23,squid game,netflix,squid
2021-10-10,84,24,squid game,netflix,squid
2021-10-11,67,25,squid game,netflix,squid
2021-10-12,60,26,squid game,netflix,squid
2021-10-13,58,27,squid game,netflix,squid
2021-10-14,56,28,squid game,netflix,squid
2021-10-15,54,29,squid game,netflix,squid
2021-10-16,62,30,squid game,netflix,squid
2021-10-17,61,31,squid game,netflix,squid
2019-11-12,21,1,the mandalorian,disney+,mando
2019-11-13,28,2,the mandalorian,disney+,mando
2019-11-14,18,3,the mandalorian,disney+,mando
2019-11-15,20,4,the mandalorian,disney+,mando
2019-11-16,26,5,the mandalorian,disney+,mando
2019-11-17,24,6,the mandalorian,disney+,mando
2019-11-18,19,7,the mandalorian,disney+,mando
2019-11-19,17,8,the mandalorian,disney+,mando
2019-11-20,15,9,the mandalorian,disney+,mando
2019-11-21,14,10,the mandalorian,disney+,mando
2019-11-22,21,11,the mandalorian,disney+,mando
2019-11-23,25,12,the mandalorian,disney+,mando
2019-11-24,22,13,the mandalorian,disney+,mando
2019-11-25,16,14,the mandalorian,disney+,mando
2019-11-26,14,15,the mandalorian,disney+,mando
2019-11-27,14,16,the mandalorian,disney+,mando
2019-11-28,14,17,the mandalorian,disney+,mando
2019-11-29,20,18,the mandalorian,disney+,mando
2019-11-30,25,19,the mandalorian,disney+,mando
2019-12-01,20,20,the mandalorian,disney+,mando
2019-12-02,17,21,the mandalorian,disney+,mando
2019-12-03,13,22,the mandalorian,disney+,mando
2019-12-04,13,23,the mandalorian,disney+,mando
2019-12-05,12,24,the mandalorian,disney+,mando
2019-12-06,19,25,the mandalorian,disney+,mando
2019-12-07,21,26,the mandalorian,disney+,mando
2019-12-08,18,27,the mandalorian,disney+,mando
2019-12-09,12,28,the mandalorian,disney+,mando
2019-12-10,10,29,the mandalorian,disney+,mando
2019-12-11,10,30,the mandalorian,disney+,mando
2019-12-12,9,31,the mandalorian,disney+,mando
2017-04-26,5,1,the handmaid's tale,hulu,handmaid
2017-04-27,8,2,the handmaid's tale,hulu,handmaid
2017-04-28,6,3,the handmaid's tale,hulu,handmaid
2017-04-29,6,4,the handmaid's tale,hulu,handmaid
2017-04-30,7,5,the handmaid's tale,hulu,handmaid
2017-05-01,7,6,the handmaid's tale,hulu,handmaid
2017-05-02,4,7,the handmaid's tale,hulu,handmaid
2017-05-03,5,8,the handmaid's tale,hulu,handmaid
2017-05-04,5,9,the handmaid's tale,hulu,handmaid
2017-05-05,5,10,the handmaid's tale,hulu,handmaid
