platform,plan_type,monthly_price,yearly_price,ads,sim_streams,downloads,profiles,bundles,student_discount
Netflix,basic,8.99,,no,1,,5,no,no
Netflix,standard,13.99,,no,2,,5,no,no
Netflix,premium,17.99,,no,4,,5,no,no
Amazon,standalone,8.99,,no,4,,5,no,yes
Hulu,basic,6.99,,yes,2,,6,yes,yes
Hulu,ad-free,12.99,,no,2,,6,yes,no
Hulu,live-tv,64.99,,yes,unlimited,,6,yes,no
Hulu,live-tv ad-free,70.99,,no,unlimited,,6,yes,no
Disney,standard,7.99,79.99,no,4,,7,yes,no
HBO,ads,9.99,,yes,3,,5,no,no
HBO,ad-free,14.99,,no,3,,5,no,no
